Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,y
39,7,13,4,1,0,4,1,2174,0,40,39,FALSE
50,6,13,2,4,4,4,1,0,0,13,39,FALSE
38,4,9,0,6,0,4,1,0,0,40,39,FALSE
53,4,7,2,6,4,2,1,0,0,40,39,FALSE
28,4,13,2,10,5,2,0,0,0,40,5,FALSE
37,4,14,2,4,5,4,0,0,0,40,39,FALSE
49,4,5,3,8,0,2,0,0,0,16,23,FALSE
52,6,9,2,4,4,4,1,0,0,45,39,TRUE
31,4,14,4,10,0,4,0,14084,0,50,39,TRUE
42,4,13,2,4,4,4,1,5178,0,40,39,TRUE
37,4,10,2,4,4,2,1,0,0,80,39,TRUE
30,7,13,2,10,4,1,1,0,0,40,19,TRUE
23,4,13,4,1,3,4,0,0,0,30,39,FALSE
32,4,12,4,12,0,2,1,0,0,50,39,FALSE
40,4,11,2,3,4,1,1,0,0,40,0,TRUE
34,4,4,2,14,4,0,1,0,0,45,26,FALSE
25,6,9,4,5,3,4,1,0,0,35,39,FALSE
32,4,9,4,7,1,4,1,0,0,40,39,FALSE
38,4,7,2,12,4,4,1,0,0,50,39,FALSE
43,6,14,0,4,1,4,0,0,0,45,39,TRUE
40,4,16,2,10,4,4,1,0,0,60,39,TRUE
54,4,9,5,8,1,2,0,0,0,20,39,FALSE
35,1,5,2,5,4,2,1,0,0,40,39,FALSE
43,4,7,2,14,4,4,1,0,2042,40,39,FALSE
59,4,9,0,13,1,4,0,0,0,40,39,FALSE
56,2,13,2,13,4,4,1,0,0,40,39,TRUE
19,4,9,4,3,3,4,1,0,0,40,39,FALSE
54,0,10,2,0,4,1,1,0,0,60,35,TRUE
39,4,9,0,4,0,4,1,0,0,80,39,FALSE
49,4,9,2,3,4,4,1,0,0,40,39,FALSE
23,2,12,4,11,0,4,1,0,0,52,39,FALSE
20,4,10,4,12,3,2,1,0,0,44,39,FALSE
45,4,13,0,4,3,4,1,0,1408,40,39,FALSE
30,1,10,2,1,3,4,1,0,0,40,39,FALSE
22,7,10,2,8,4,2,1,0,0,15,39,FALSE
48,4,7,4,7,1,4,1,0,0,40,33,FALSE
21,4,10,4,7,3,4,1,0,0,40,39,FALSE
19,4,9,1,1,5,4,0,0,0,25,39,FALSE
31,4,10,2,12,4,4,1,0,0,38,0,TRUE
48,6,12,2,10,4,4,1,0,0,40,39,FALSE
31,4,5,2,7,4,4,1,0,0,43,39,FALSE
53,6,13,2,10,4,4,1,0,0,40,39,FALSE
24,4,13,2,13,4,4,1,0,0,50,39,FALSE
