Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,decile_score
0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,3
1,4,0,0,1,1,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,1,0,1,1
1,14,1,0,0,0,0,0,0,0,0,0,6
0,3,0,0,0,0,0,0,0,1,0,0,4
0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,4
1,3,1,0,1,1,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,0,4
1,1,0,1,0,0,0,0,0,0,1,0,1
1,7,0,0,0,1,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,0,1,1
0,3,1,0,0,1,0,0,0,0,0,0,10
1,6,1,0,0,0,0,0,0,0,0,0,5
1,5,0,0,0,0,0,0,0,0,0,0,3
1,13,1,1,0,1,0,0,0,0,0,0,6
1,1,1,0,1,1,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,1,0,0,0,0,0,1,0,4
1,1,0,0,1,0,0,1,0,0,0,0,4
0,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,1,3
1,8,0,0,0,1,0,0,0,0,0,0,3
1,5,1,0,0,1,0,0,0,0,0,0,7
1,0,1,0,0,1,0,0,0,0,0,0,10
1,9,1,0,0,0,0,0,0,0,0,0,9
1,4,1,0,0,1,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,1
1,7,0,1,0,0,0,0,0,1,0,0,3
1,4,1,0,0,0,0,0,0,0,1,1,5
1,1,0,0,1,0,0,0,0,0,0,1,2
1,21,1,0,0,1,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,1,2
0,2,1,0,1,1,0,0,0,0,1,0,8
0,2,0,1,0,1,0,0,0,0,0,1,1
1,2,0,0,0,0,0,0,0,0,0,1,2
0,7,0,1,0,1,0,0,0,0,1,0,2
1,0,1,0,0,1,0,0,0,0,0,0,7
1,9,1,0,0,0,0,0,0,0,0,1,10
1,13,1,0,0,1,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0,4
1,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1,1,0,2
0,15,1,0,0,1,0,0,0,0,0,0,5
1,2,0,0,1,1,0,0,0,0,0,0,4
0,0,1,0,0,0,0,1,0,0,0,1,7
0,4,0,1,0,1,0,0,0,0,0,1,1
0,8,1,1,0,0,0,0,0,0,0,0,5
0,5,0,0,0,1,0,0,0,0,0,0,3
1,15,1,0,0,1,0,0,0,0,0,0,10
1,4,0,0,0,0,0,0,0,0,0,1,2
1,1,0,0,1,1,0,0,0,0,0,0,4
1,4,1,0,0,1,0,0,0,0,0,0,9
0,0,0,1,0,0,0,1,0,0,0,1,1
1,6,1,0,0,1,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,1,0,1,0,0,0,0,1,1,1
1,6,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,4
0,1,0,0,0,1,0,0,0,0,0,1,4
1,5,1,0,0,1,0,0,0,0,0,0,6
1,1,1,0,0,0,0,0,0,0,0,0,6
0,2,0,0,0,1,0,0,0,0,0,0,2
1,1,0,0,1,1,0,0,0,0,0,1,3
0,0,1,0,1,0,0,0,0,0,0,0,8
1,1,0,0,0,1,0,0,0,0,1,0,4
0,0,0,0,0,1,0,0,0,0,0,0,2
0,1,0,0,0,1,0,0,0,0,0,1,2
1,8,1,0,0,1,0,0,0,0,0,1,10
1,0,0,1,0,0,0,0,0,1,0,0,1
1,14,1,0,0,1,0,0,0,0,0,0,10
1,0,1,0,1,0,0,0,0,1,0,0,5
1,2,1,0,1,1,0,0,0,0,0,0,9
0,1,0,0,0,1,0,0,0,0,1,1,2
1,9,1,0,0,1,0,0,0,0,0,0,7
1,7,1,0,0,0,0,0,0,0,0,0,8
1,1,1,0,1,0,0,0,0,1,0,0,6
1,9,1,0,0,0,0,0,0,0,0,0,8
0,0,1,0,1,0,0,0,0,0,1,0,7
1,2,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,1,0,0,1,1,1
1,1,0,0,1,1,0,0,0,0,0,1,4
0,1,0,0,0,1,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,1,0,1
1,8,1,0,1,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,1,5
0,1,0,0,0,0,0,0,0,0,1,0,4
0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,1,0,1,1,0,0,0,0,0,0,9
1,5,0,0,0,0,0,0,0,0,0,1,4
0,0,1,0,0,0,0,0,0,0,0,0,5
1,5,1,0,0,1,0,0,0,0,0,0,5
0,3,0,0,0,1,0,0,0,0,0,0,2
1,1,0,0,0,0,0,0,0,0,0,0,2
